SIG_CD,POP
41111,288974
41113,377193
41115,183717
41117,353205
41131,235108
41133,226735
41135,496827
41150,443466
41171,252902
41173,328378
41190,848191
41210,329565
41220,491338
41250,96645
41271,359530
41273,301783
41281,451714
41285,295962
41287,295730
41290,57393
41310,201575
41360,680245
41370,218998
41390,439685
41410,278187
41430,153752
41450,244229
41461,244532
41463,422979
41465,355142
41480,446669
41500,214954
41550,183489
41570,413576
41590,738491
41610,359430
41630,214436
41650,151890
41670,111639
41800,44844
41820,63155
41830,116233
