yyyymmdd,price
2025-03-31,"57,800"
2025-03-28,"60,200"
2025-03-27,"61,800"
2025-03-26,"61,400"
2025-03-25,"59,800"
2025-03-24,"60,500"
2025-03-21,"61,700"
2025-03-20,"60,200"
2025-03-19,"58,500"
2025-03-18,"57,600"
2025-03-17,"57,600"
2025-03-14,"54,700"
2025-03-13,"54,700"
2025-03-12,"54,900"
2025-03-11,"53,600"
2025-03-10,"53,700"
2025-03-07,"53,700"
2025-03-06,"54,300"
2025-03-05,"54,000"
2025-03-04,"54,500"
2025-02-28,"54,500"
2025-02-27,"56,300"
2025-02-26,"56,600"
2025-02-25,"57,200"
2025-02-24,"57,300"
2025-02-21,"58,200"
2025-02-20,"58,400"
2025-02-19,"58,700"
2025-02-18,"56,900"
2025-02-17,"56,000"
2025-02-14,"56,000"
2025-02-13,"55,800"
2025-02-12,"55,800"
2025-02-11,"55,700"
2025-02-10,"55,600"
2025-02-07,"53,700"
2025-02-06,"54,000"
2025-02-05,"52,900"
2025-02-04,"52,700"
2025-02-03,"51,000"
2025-01-31,"52,400"
2025-01-24,"53,700"
2025-01-23,"53,700"
2025-01-22,"54,300"
2025-01-21,"53,500"
2025-01-20,"53,400"
2025-01-17,"53,700"
2025-01-16,"54,300"
2025-01-15,"53,700"
2025-01-14,"53,900"
2025-01-13,"54,100"
2025-01-10,"55,300"
2025-01-09,"56,100"
2025-01-08,"57,300"
2025-01-07,"55,400"
2025-01-06,"55,900"
2025-01-03,"54,400"
2025-01-02,"53,400"
